time,港濱軸帶,安平老街,國華海安商圈,孔廟文化園區,赤崁園區
2022/7/112:00:00AM,27.6,27.54,27.4,27.4,27.4
2022/7/101:00:00AM,27.7,27.5,27.4,27.4,27.4
2022/7/102:00:00AM,27.7,27.57,27.8,27.8,27.8
2022/7/103:00:00AM,27.3,27.75,27.5,27.5,27.5
2022/7/104:00:00AM,27.3,27.62,27.8,27.8,27.8
2022/7/105:00:00AM,27.8,27.89,27.7,27.7,27.7
2022/7/106:00:00AM,28.3,28.45,27.5,27.5,27.5
2022/7/107:00:00AM,28.9,29.03,28.4,28.4,28.4
2022/7/108:00:00AM,30.1,30.21,29.7,29.7,29.7
2022/7/109:00:00AM,30.7,30.86,30.8,30.8,30.8
2022/7/110:00:00AM,31.6,31.42,31,31,31
2022/7/111:00:00AM,31.7,31.92,32.1,32.1,32.1
2022/7/112:00:00PM,31.6,32.05,32.6,32.6,32.6
2022/7/101:00:00PM,32,32.04,32.4,32.4,32.4
2022/7/102:00:00PM,32.1,32.34,32.7,32.7,32.7
2022/7/103:00:00PM,31.5,32.1,31.8,31.8,31.8
2022/7/104:00:00PM,31.3,31.39,29.2,29.2,29.2
2022/7/105:00:00PM,27.7,27.66,27,27,27
2022/7/106:00:00PM,25.7,25.98,26.6,26.6,26.6
2022/7/107:00:00PM,25.5,25.54,26.6,26.6,26.6
2022/7/108:00:00PM,26.2,25.75,26.1,26.1,26.1
2022/7/109:00:00PM,26.5,25.91,27.2,27.2,27.2
2022/7/110:00:00PM,26.5,26.22,26.8,26.8,26.8
2022/7/111:00:00PM,26.7,26.46,26.9,26.9,26.9
2022/7/212:00:00AM,26.6,26.51,27.1,27.1,27.1
2022/7/201:00:00AM,26.1,26.34,26.1,26.1,26.1
2022/7/202:00:00AM,26.1,26.28,26,26,26
2022/7/203:00:00AM,26.12,26.12,25.9,25.9,25.9
2022/7/204:00:00AM,26.15,26.15,25.8,25.8,25.8
2022/7/205:00:00AM,26.1,26.22,26.1,26.1,26.1
2022/7/206:00:00AM,26.4,26.56,26.4,26.4,26.4
2022/7/207:00:00AM,27.2,27.33,27.4,27.4,27.4
2022/7/208:00:00AM,28.1,28.52,28.3,28.3,28.3
2022/7/209:00:00AM,29.2,29.59,29.2,29.2,29.2
2022/7/210:00:00AM,30,29.94,30.4,30.4,30.4
2022/7/211:00:00AM,30,30.03,30.7,30.7,30.7
2022/7/212:00:00PM,30.8,30.35,31.2,31.2,31.2
2022/7/201:00:00PM,31.1,30.77,29.3,29.3,29.3
2022/7/202:00:00PM,30.8,30.35,31.2,31.2,31.2
2022/7/203:00:00PM,30.3,30.02,30.5,30.5,30.5
2022/7/204:00:00PM,29.8,29.61,30.1,30.1,30.1
2022/7/205:00:00PM,28.8,28.86,29,29,29
2022/7/206:00:00PM,28.6,28.59,28.6,28.6,28.6
2022/7/207:00:00PM,28.7,28.7,28.6,28.6,28.6
2022/7/208:00:00PM,27.1,27.35,28.3,28.3,28.3
2022/7/209:00:00PM,26.3,26.09,25.9,25.9,25.9
2022/7/210:00:00PM,25.9,25.68,25.5,25.5,25.5
2022/7/211:00:00PM,25.9,25.99,25.7,25.7,25.7
2022/7/312:00:00AM,25.7,25.85,25.5,25.5,25.5
2022/7/301:00:00AM,25.6,25.81,25.6,25.6,25.6
2022/7/302:00:00AM,26,25.91,25.7,25.7,25.7
2022/7/303:00:00AM,26.2,26.15,26.1,26.1,26.1
2022/7/304:00:00AM,26.6,26.55,26.6,26.6,26.6
2022/7/305:00:00AM,25.7,25.83,25.8,25.8,25.8
2022/7/306:00:00AM,26.4,26.21,26.4,26.4,26.4
2022/7/307:00:00AM,26.3,26.36,26.6,26.6,26.6
2022/7/308:00:00AM,26.2,26.24,26,26,26
2022/7/309:00:00AM,26.1,26.28,26.1,26.1,26.1
2022/7/310:00:00AM,26.8,27.36,26.7,26.7,26.7
2022/7/311:00:00AM,28,28.43,27.9,27.9,27.9
2022/7/312:00:00PM,30.3,29.88,30.1,30.1,30.1
2022/7/301:00:00PM,31.5,30.85,31,31,31
2022/7/302:00:00PM,31.7,31.17,31.9,31.9,31.9
2022/7/303:00:00PM,31.4,30.66,31.9,31.9,31.9
2022/7/304:00:00PM,31.2,30.41,31.7,31.7,31.7
2022/7/305:00:00PM,30.6,30.09,30.9,30.9,30.9
2022/7/306:00:00PM,29.5,29.31,29.8,29.8,29.8
2022/7/307:00:00PM,27.2,26.74,27.9,27.9,27.9
2022/7/308:00:00PM,28.3,27.61,28.6,28.6,28.6
2022/7/309:00:00PM,28.5,28.21,28.9,28.9,28.9
2022/7/310:00:00PM,28.5,28.54,28.8,28.8,28.8
2022/7/311:00:00PM,28.4,27.75,28.5,28.5,28.5
2022/7/412:00:00AM,26.2,26.1,27.2,27.2,27.2
2022/7/401:00:00AM,26.4,26.18,26.4,26.4,26.4
2022/7/402:00:00AM,26.7,26.55,26.8,26.8,26.8
2022/7/403:00:00AM,27,27.02,27.2,27.2,27.2
2022/7/404:00:00AM,26.8,26.94,26.9,26.9,26.9
2022/7/405:00:00AM,26.7,26.91,27,27,27
2022/7/406:00:00AM,27.2,27.48,27.5,27.5,27.5
2022/7/407:00:00AM,28.6,29.05,28.4,28.4,28.4
2022/7/408:00:00AM,29.7,30.31,29.7,29.7,29.7
2022/7/409:00:00AM,30,30.27,30.9,30.9,30.9
2022/7/410:00:00AM,29.9,29.82,30.9,30.9,30.9
2022/7/411:00:00AM,31.3,30.35,32,32,32
2022/7/412:00:00PM,30,30,30.7,30.7,30.7
2022/7/401:00:00PM,30.4,30.27,29.7,29.7,29.7
2022/7/402:00:00PM,30.1,30.4,30.1,30.1,30.1
2022/7/403:00:00PM,29.4,29.55,29.3,29.3,29.3
2022/7/404:00:00PM,28.2,28.55,28,28,28
2022/7/405:00:00PM,28.9,29.08,28.8,28.8,28.8
2022/7/406:00:00PM,28,28.22,28.4,28.4,28.4
2022/7/407:00:00PM,27.8,27.72,27.9,27.9,27.9
2022/7/408:00:00PM,26.1,26.18,26.8,26.8,26.8
2022/7/409:00:00PM,26.5,26.03,26.8,26.8,26.8
2022/7/410:00:00PM,26.7,26.58,27.1,27.1,27.1
2022/7/411:00:00PM,26.6,26.88,27.1,27.1,27.1
2022/7/512:00:00AM,26.9,27.16,26.8,26.8,26.8
2022/7/501:00:00AM,27.1,27.29,27.1,27.1,27.1
2022/7/502:00:00AM,27,27.57,27.5,27.5,27.5
2022/7/503:00:00AM,27.1,27.59,27.4,27.4,27.4
2022/7/504:00:00AM,27.3,27.62,27.5,27.5,27.5
2022/7/505:00:00AM,27.2,27.73,27.4,27.4,27.4
2022/7/506:00:00AM,27.7,27.92,27.5,27.5,27.5
2022/7/507:00:00AM,25.8,26.14,26.2,26.2,26.2
2022/7/508:00:00AM,26.6,26.89,27.1,27.1,27.1
2022/7/509:00:00AM,28.6,29.31,28.7,28.7,28.7
2022/7/510:00:00AM,27.2,27.26,29,29,29
2022/7/511:00:00AM,29.8,27.55,29.6,29.6,29.6
2022/7/512:00:00PM,25.5,25.7,25.8,25.8,25.8
2022/7/501:00:00PM,25.8,25.85,25.8,25.8,25.8
2022/7/502:00:00PM,26.1,26.56,25.8,25.8,25.8
2022/7/503:00:00PM,26.9,27.2,27,27,27
2022/7/504:00:00PM,27.3,27.52,27.2,27.2,27.2
2022/7/505:00:00PM,27.6,27.83,27.7,27.7,27.7
2022/7/506:00:00PM,27.9,27.8,27.9,27.9,27.9
2022/7/507:00:00PM,27.8,27.91,28.2,28.2,28.2
2022/7/508:00:00PM,27.3,27.72,27.6,27.6,27.6
2022/7/509:00:00PM,27.3,27.65,27.6,27.6,27.6
2022/7/510:00:00PM,27.2,27.47,27.4,27.4,27.4
2022/7/511:00:00PM,27,27.45,27.1,27.1,27.1
2022/7/612:00:00AM,27.1,27.58,27.1,27.1,27.1
2022/7/601:00:00AM,27.3,27.41,26.7,26.7,26.7
2022/7/602:00:00AM,26.7,26.89,26.5,26.5,26.5
2022/7/603:00:00AM,26.3,26.68,26.4,26.4,26.4
2022/7/604:00:00AM,26.4,26.82,26.5,26.5,26.5
2022/7/605:00:00AM,26.6,26.92,26.6,26.6,26.6
2022/7/606:00:00AM,27,27.65,26.8,26.8,26.8
2022/7/607:00:00AM,27.3,28.1,27.4,27.4,27.4
2022/7/608:00:00AM,29.6,30.51,29.3,29.3,29.3
2022/7/609:00:00AM,27.5,28.61,28.4,28.4,28.4
