dt_date,Parking
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/1,38
2022/7/1,42
2022/7/1,15
2022/7/1,38
2022/7/1,18
2022/7/1,28
2022/7/1,20
2022/7/1,18
2022/7/1,34
2022/7/1,20
2022/7/1,25
2022/7/1,33
2022/7/1,21
2022/7/1,4
2022/7/1,0
2022/7/1,0
2022/7/1,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,43
2022/7/2,22
2022/7/2,15
2022/7/2,15
2022/7/2,12
2022/7/2,25
2022/7/2,21
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/2,0
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/3,25
2022/7/3,21
2022/7/3,4
2022/7/3,13
2022/7/3,16
2022/7/3,13
2022/7/3,0
2022/7/3,47
2022/7/3,14
2022/7/3,13
2022/7/3,20
2022/7/3,21
2022/7/3,25
2022/7/3,1
2022/7/3,0
2022/7/3,0
2022/7/3,0
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/4,43
2022/7/4,19
2022/7/4,33
2022/7/4,6
2022/7/4,34
2022/7/4,33
2022/7/4,12
2022/7/4,38
2022/7/4,26
2022/7/4,22
2022/7/4,16
2022/7/4,31
2022/7/4,16
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/4,0
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/5,45
2022/7/5,41
2022/7/5,16
2022/7/5,18
2022/7/5,13
2022/7/5,43
2022/7/5,8
2022/7/5,56
2022/7/5,28
2022/7/5,24
2022/7/5,23
2022/7/5,26
2022/7/5,28
2022/7/5,6
2022/7/5,0
2022/7/5,0
2022/7/5,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,42
2022/7/6,11
2022/7/6,15
2022/7/6,20
2022/7/6,32
2022/7/6,10
2022/7/6,14
2022/7/6,19
2022/7/6,8
2022/7/6,4
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/6,0
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/7,44
2022/7/7,27
2022/7/7,20
2022/7/7,28
2022/7/7,29
2022/7/7,11
2022/7/7,36
2022/7/7,16
2022/7/7,0
2022/7/7,10
2022/7/7,12
2022/7/7,12
2022/7/7,0
2022/7/7,4
2022/7/7,0
2022/7/7,0
2022/7/7,0
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/8,46
2022/7/8,33
2022/7/8,20
2022/7/8,20
2022/7/8,32
2022/7/8,32
2022/7/8,21
2022/7/8,50
2022/7/8,35
2022/7/8,26
2022/7/8,24
2022/7/8,20
2022/7/8,16
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/8,0
2022/7/9,0
2022/7/9,0
2022/7/9,0
2022/7/9,0
2022/7/9,0
2022/7/9,0
2022/7/9,0
2022/7/9,5
2022/7/9,40
2022/7/9,2
2022/7/9,9
2022/7/9,4
2022/7/9,7
2022/7/9,25
2022/7/9,9
2022/7/9,13
2022/7/9,17
2022/7/9,10
2022/7/9,7
2022/7/9,15
2022/7/9,6
2022/7/9,0
2022/7/9,0
