,date,hr,tickets
0,2022-07-01,0,0
1,2022-07-01,1,0
2,2022-07-01,2,0
3,2022-07-01,3,0
4,2022-07-01,4,0
5,2022-07-01,5,0
6,2022-07-01,6,0
7,2022-07-01,7,0
8,2022-07-01,8,18.46605505
9,2022-07-01,9,33.6733945
10,2022-07-01,10,48.88073394
11,2022-07-01,11,60.8293578
12,2022-07-01,12,66.26055046
13,2022-07-01,13,66.26055046
14,2022-07-01,14,61.91559633
15,2022-07-01,15,56.48440367
16,2022-07-01,16,49.96697248
17,2022-07-01,17,42.36330275
18,2022-07-01,18,33.6733945
19,2022-07-01,19,24.98348624
20,2022-07-01,20,17.37981651
21,2022-07-01,21,10.86238532
22,2022-07-01,22,0
23,2022-07-01,23,0
24,2022-07-02,0,0
25,2022-07-02,1,0
26,2022-07-02,2,0
27,2022-07-02,3,0
28,2022-07-02,4,0
29,2022-07-02,5,0
30,2022-07-02,6,0
31,2022-07-02,7,0
32,2022-07-02,8,45.35412844
33,2022-07-02,9,82.70458716
34,2022-07-02,10,120.0550459
35,2022-07-02,11,149.4018349
36,2022-07-02,12,162.7412844
37,2022-07-02,13,162.7412844
38,2022-07-02,14,152.0697248
39,2022-07-02,15,138.7302752
40,2022-07-02,16,122.7229358
41,2022-07-02,17,104.0477064
42,2022-07-02,18,82.70458716
43,2022-07-02,19,61.36146789
44,2022-07-02,20,42.68623853
45,2022-07-02,21,26.67889908
46,2022-07-02,22,0
47,2022-07-02,23,0
48,2022-07-03,0,0
49,2022-07-03,1,0
50,2022-07-03,2,0
51,2022-07-03,3,0
52,2022-07-03,4,0
53,2022-07-03,5,0
54,2022-07-03,6,0
55,2022-07-03,7,0
56,2022-07-03,8,34
57,2022-07-03,9,62
58,2022-07-03,10,90
59,2022-07-03,11,112
60,2022-07-03,12,122
61,2022-07-03,13,122
62,2022-07-03,14,114
63,2022-07-03,15,104
64,2022-07-03,16,92
65,2022-07-03,17,78
66,2022-07-03,18,62
67,2022-07-03,19,46
68,2022-07-03,20,32
69,2022-07-03,21,20
70,2022-07-03,22,0
71,2022-07-03,23,0
72,2022-07-04,0,0
73,2022-07-04,1,0
74,2022-07-04,2,0
75,2022-07-04,3,0
76,2022-07-04,4,0
77,2022-07-04,5,0
78,2022-07-04,6,0
79,2022-07-04,7,0
80,2022-07-04,8,27.38715596
81,2022-07-04,9,49.9412844
82,2022-07-04,10,72.49541284
83,2022-07-04,11,90.21651376
84,2022-07-04,12,98.27155963
85,2022-07-04,13,98.27155963
86,2022-07-04,14,91.82752294
87,2022-07-04,15,83.77247706
88,2022-07-04,16,74.10642202
